,Vehicle 1,Vehicle 2,seed,platoon
0,-16.19553,-7.9655232,1,1
1,-23.66381,-26.919594,1,1
2,-48.730434,-86.65717,1,1
3,-38.119766,-16.066618,1,1
4,-144.40726,-354.81827,1,1
5,-22.425484,-17.522745,1,1
6,-54.419216,-39.353218,1,1
7,-27.776531,-13.47584,1,1
8,-12.902052,-5.1554804,1,1
9,-13.370588,-27.5581,1,1
10,-20.750858,-54.332405,1,1
11,-62.762566,-29.45214,1,1
12,-16.405483,-58.88446,1,1
13,-29.193811,-3.054949,1,1
14,-42.978725,-96.83302,1,1
15,-22.455246,-14.793486,1,1
16,-33.535168,-33.513485,1,1
17,-15.747781,-4.856767,1,1
18,-48.9777,-34.013943,1,1
19,-4.0296817,-22.616661,1,1
20,-4.353873,-32.4088,1,1
21,-52.246693,-56.73278,1,1
22,-17.8007,-17.000948,1,1
23,-11.620284,-23.58687,1,1
24,-32.889423,-28.948885,1,1
25,-47.407448,-48.225864,1,1
26,-15.952783,-4.309411,1,1
27,-12.918325,-1.1435753,1,1
28,-35.43544,-80.2189,1,1
29,-40.798183,-68.538956,1,1
30,-44.766956,-48.14222,1,1
31,-33.376278,-51.2249,1,1
32,-68.71237,-56.223644,1,1
33,-3.25918,-26.681055,1,1
34,-38.575565,-32.12441,1,1
35,-17.767073,-7.9710655,1,1
36,-11.482766,-19.563257,1,1
37,-37.749355,-43.595478,1,1
38,-109.350334,-21.560392,1,1
39,-1.964798,-21.442953,1,1
40,-20.908144,-23.666376,1,1
41,-20.741697,-29.247719,1,1
42,-108.058235,-94.55784,1,1
43,-33.92211,-19.904137,1,1
44,-2.2058632,-35.988968,1,1
45,-46.532055,-41.958546,1,1
46,-3.6900723,-20.845076,1,1
47,-24.362555,-7.4067025,1,1
48,-7.811075,-33.35592,1,1
49,-41.79282,-36.57769,1,1
50,-8.012581,-39.450165,1,1
51,-31.53182,-39.686012,1,1
52,-7.930898,-44.249012,1,1
53,-33.134953,-8.415476,1,1
54,-18.525497,-16.223568,1,1
55,-8.678764,-19.300873,1,1
56,-28.968613,-26.695953,1,1
57,-28.904572,-50.295307,1,1
58,-23.307907,-13.881639,1,1
59,-25.165047,-6.3119593,1,1
60,-91.13047,-101.12587,1,1
61,-20.654749,-9.6087885,1,1
62,-46.39398,-45.66089,1,1
63,-42.688072,-39.248264,1,1
64,-24.969997,-18.775536,1,1
65,-34.17834,-6.2884617,1,1
66,-4.486371,-20.359192,1,1
67,-21.137714,-26.008986,1,1
68,-35.222813,-31.092766,1,1
69,-25.924227,-13.954432,1,1
70,-2.5313122,-16.916725,1,1
71,-10.660039,-17.505978,1,1
72,-28.055933,-29.40988,1,1
73,-34.40303,-11.562975,1,1
74,-84.53597,-62.691288,1,1
75,-22.72736,-22.793112,1,1
76,-22.880775,-35.456757,1,1
77,-19.318304,-32.30203,1,1
78,-2.3580778,-18.83764,1,1
79,-2.7365675,-17.873602,1,1
80,-37.565598,-28.38723,1,1
81,-7.022474,-47.011887,1,1
82,-24.986261,-14.288282,1,1
83,-31.883928,-13.355534,1,1
84,-7.2860003,-28.69941,1,1
85,-31.46839,-6.0679827,1,1
86,-20.362926,-15.537875,1,1
87,-19.677317,-10.046628,1,1
88,-8.7967615,-18.335722,1,1
89,-52.81592,-11.262578,1,1
90,-13.011154,-27.59,1,1
91,-28.90861,-9.224771,1,1
92,-8.99954,-19.207838,1,1
93,-51.015358,-12.759852,1,1
94,-32.797104,-24.247791,1,1
95,-62.059437,-46.241108,1,1
96,-26.780396,-63.827923,1,1
97,-13.438825,-33.68346,1,1
98,-14.32244,-19.220879,1,1
99,-4.4887295,-21.595573,1,1
100,-21.05307,-6.0948844,1,1
101,-34.256294,-30.891415,1,1
102,-14.840202,-4.7536087,1,1
103,-10.299723,-17.197428,1,1
104,-76.4929,-96.25812,1,1
105,-42.38168,-9.243825,1,1
106,-5.4719205,-30.497244,1,1
107,-5.25505,-24.531242,1,1
108,-48.54725,-14.848503,1,1
109,-15.561882,-15.086932,1,1
110,-43.01391,-18.488558,1,1
111,-68.286354,-35.240585,1,1
112,-47.918304,-26.564972,1,1
113,-51.934177,-81.15107,1,1
114,-6.626194,-22.505877,1,1
115,-11.58922,-14.139757,1,1
116,-35.346863,-15.762706,1,1
117,-14.385095,-5.737936,1,1
118,-21.609388,-2.0668445,1,1
119,-21.750477,-48.278316,1,1
120,-20.438684,-5.2177,1,1
121,-24.177887,-14.108484,1,1
122,-14.235208,-24.777584,1,1
123,-20.252884,-29.393284,1,1
124,-1.5035639,-17.687574,1,1
