,Vehicle 1,Vehicle 2,seed,platoon,avg window
0,16.19553,7.9655232,1,1,40
1,19.92967,17.442558,1,1,40
2,29.529924,40.514095,1,1,40
3,31.677385,34.402225,1,1,40
4,54.22336,98.485435,1,1,40
5,48.92371,84.99165,1,1,40
6,49.708782,78.47188,1,1,40
7,46.967255,70.34737,1,1,40
8,43.18223,63.10382,1,1,40
9,40.201065,59.549248,1,1,40
10,38.432865,59.07499,1,1,40
11,40.46034,56.60642,1,1,40
12,38.609966,56.781654,1,1,40
13,37.93738,52.94403,1,1,40
14,38.27347,55.86996,1,1,40
15,37.284836,53.30269,1,1,40
16,37.064266,52.13862,1,1,40
17,35.88002,49.51185,1,1,40
18,36.56937,48.696167,1,1,40
19,34.942387,47.39219,1,1,40
20,33.48579,46.678696,1,1,40
21,34.33856,47.135696,1,1,40
22,33.619522,45.825493,1,1,40
23,32.702885,44.898884,1,1,40
24,32.710346,44.260883,1,1,40
25,33.27562,44.413383,1,1,40
26,32.634033,42.92805,1,1,40
27,31.929901,41.43575,1,1,40
28,32.05078,42.773098,1,1,40
29,32.34236,43.631958,1,1,40
30,32.743153,43.77745,1,1,40
31,32.76294,44.010185,1,1,40
32,33.852318,44.38029,1,1,40
33,32.95252,43.859722,1,1,40
34,33.11318,43.52443,1,1,40
35,32.686897,42.536835,1,1,40
36,32.11381,41.915928,1,1,40
37,32.262115,41.960125,1,1,40
38,34.23874,41.437054,1,1,40
39,33.43189,40.937206,1,1,40
40,33.549706,41.329727,1,1,40
41,33.47665,41.38793,1,1,40
42,34.959846,41.58545,1,1,40
43,34.854904,41.681385,1,1,40
44,31.29987,33.710655,1,1,40
45,31.902533,34.32155,1,1,40
46,30.634308,33.858845,1,1,40
47,30.548956,33.707115,1,1,40
48,30.421682,34.41213,1,1,40
49,31.132238,34.63762,1,1,40
50,30.813782,34.26556,1,1,40
51,30.033014,34.521408,1,1,40
52,29.821148,34.155525,1,1,40
53,29.919678,34.289536,1,1,40
54,29.308344,32.2743,1,1,40
55,28.963934,32.386982,1,1,40
56,28.849768,32.216545,1,1,40
57,29.17869,33.35251,1,1,40
58,28.536945,32.8492,1,1,40
59,29.065327,32.44158,1,1,40
60,31.234741,34.159508,1,1,40
61,30.444946,32.981407,1,1,40
62,31.159775,33.697906,1,1,40
63,31.936468,34.08944,1,1,40
64,31.738483,33.835106,1,1,40
65,31.407757,32.786674,1,1,40
66,31.121098,33.18792,1,1,40
67,31.326584,33.809555,1,1,40
68,31.321264,32.5814,1,1,40
69,30.94942,31.216787,1,1,40
70,29.893528,30.436152,1,1,40
71,29.325623,29.593176,1,1,40
72,28.30921,28.922832,1,1,40
73,29.087805,28.54488,1,1,40
74,30.236816,29.309052,1,1,40
75,30.360825,29.679602,1,1,40
76,30.645773,30.07694,1,1,40
77,30.184998,29.794605,1,1,40
78,27.51019,29.726536,1,1,40
79,27.529486,29.637304,1,1,40
80,27.945919,29.755322,1,1,40
81,27.602942,30.199429,1,1,40
82,25.526142,28.192688,1,1,40
83,25.475185,28.028973,1,1,40
84,25.602188,27.846735,1,1,40
85,25.225597,26.949472,1,1,40
86,25.64242,26.816792,1,1,40
87,25.525288,26.882788,1,1,40
88,25.54993,26.507284,1,1,40
89,25.82551,25.874409,1,1,40
90,25.950474,25.577902,1,1,40
91,25.884892,24.816372,1,1,40
92,25.91161,24.190342,1,1,40
93,26.358618,24.29895,1,1,40
94,26.715412,24.499556,1,1,40
95,28.049927,25.173061,1,1,40
96,27.99522,26.10136,1,1,40
97,27.608576,25.686066,1,1,40
98,27.383942,25.819546,1,1,40
99,26.867031,26.201635,1,1,40
100,25.115097,23.825863,1,1,40
101,25.455135,24.35793,1,1,40
102,24.66629,23.335247,1,1,40
103,23.856583,22.783976,1,1,40
104,25.144653,24.72104,1,1,40
105,25.349737,24.794924,1,1,40
106,25.374378,25.048376,1,1,40
107,24.97731,25.011433,1,1,40
108,25.310421,24.605326,1,1,40
109,25.051365,24.633636,1,1,40
110,26.063427,24.672934,1,1,40
111,27.504086,25.116299,1,1,40
112,28.000647,25.045177,1,1,40
113,28.438923,26.784878,1,1,40
114,26.49118,25.780243,1,1,40
115,26.212727,25.563908,1,1,40
116,26.524378,25.071558,1,1,40
117,26.401047,24.407455,1,1,40
118,26.88233,23.988186,1,1,40
119,27.357677,24.748302,1,1,40
120,26.929504,24.169064,1,1,40
121,27.358393,23.34648,1,1,40
122,27.089615,23.608713,1,1,40
123,26.798838,24.009655,1,1,40
124,26.654278,23.734362,1,1,40
